Fatec,Ano,Semestre,Curso,Periodo,Inscritos,Vagas,Demanda
Fatec Mauá,2007,1,Informática - Ênfase Em Gestão De Negócios,Noite,456,40,11.40
Fatec Mauá,2007,1,Informática - Ênfase Em Gestão De Negócios,Tarde,168,40,4.20
Fatec Mauá,2007,1,Produção De Materiais Plásticos,Noite,352,40,8.80
Fatec Mauá,2007,2,Informática Para A Gestão De Negócios,Noite,363,40,9.08
Fatec Mauá,2007,2,Informática Para A Gestão De Negócios,Tarde,112,40,2.80
Fatec Mauá,2007,2,Produção De Materiais Plásticos,Noite,320,40,8.00
Fatec Mauá,2008,1,Informática Para A Gestão De Negócios,Noite,318,40,7.95
Fatec Mauá,2008,1,Informática Para A Gestão De Negócios,Tarde,103,40,2.58
Fatec Mauá,2008,1,Produção De Materiais Plásticos,Noite,304,40,7.60
Fatec Mauá,2008,2,Informática Para A Gestão De Negócios,Noite,228,40,5.70
Fatec Mauá,2008,2,Informática Para A Gestão De Negócios,Tarde,65,40,1.63
Fatec Mauá,2008,2,Produção De Materiais Plásticos,Noite,175,40,4.38
Fatec Mauá,2009,1,Informática Para A Gestão De Negócios,Noite,275,40,6.88
Fatec Mauá,2009,1,Informática Para A Gestão De Negócios,Tarde,84,40,2.10
Fatec Mauá,2009,1,Logística E Transportes,Manhã,149,40,3.73
Fatec Mauá,2009,1,Produção De Materiais Plásticos,Noite,227,40,5.68
Fatec Mauá,2009,2,Informática Para A Gestão De Negócios,Noite,315,40,7.88
Fatec Mauá,2009,2,Informática Para A Gestão De Negócios,Tarde,86,40,2.15
Fatec Mauá,2009,2,Logística (Logística E Transportes),Manhã,149,40,3.73
Fatec Mauá,2009,2,Produção De Materiais Plásticos,Noite,234,40,5.85
Fatec Mauá,2010,1,Informática Para A Gestão De Negócios,Noite,301,40,7.53
Fatec Mauá,2010,1,Informática Para A Gestão De Negócios,Tarde,102,40,2.55
Fatec Mauá,2010,1,Logística,Manhã,250,40,6.25
Fatec Mauá,2010,1,Polímeros (Produção De Materiais Plásticos),Noite,257,40,6.43
Fatec Mauá,2010,2,Informática E Negócios,Noite,254,40,6.35
Fatec Mauá,2010,2,Informática E Negócios,Tarde,60,40,1.50
Fatec Mauá,2010,2,Logística,Manhã,221,40,5.53
Fatec Mauá,2010,2,Polímeros (Produção De Materiais Plásticos),Noite,195,40,4.88
Fatec Mauá,2011,1,Informática Para Negócios,Noite,279,40,6.98
Fatec Mauá,2011,1,Informática Para Negócios,Tarde,77,40,1.93
Fatec Mauá,2011,1,Logística,Manhã,237,40,5.93
Fatec Mauá,2011,1,Polímeros,Noite,234,40,5.85
Fatec Mauá,2011,2,Informática Para Negócios,Noite,225,40,5.63
Fatec Mauá,2011,2,Informática Para Negócios,Tarde,74,40,1.85
Fatec Mauá,2011,2,Logística,Manhã,216,40,5.40
Fatec Mauá,2011,2,Polímeros,Noite,167,40,4.18
Fatec Mauá,2012,1,Informática Para Negócios,Noite,266,40,6.65
Fatec Mauá,2012,1,Informática Para Negócios,Tarde,97,40,2.43
Fatec Mauá,2012,1,Logística,Manhã,213,40,5.33
Fatec Mauá,2012,1,Logística,Noite,399,40,9.98
Fatec Mauá,2012,1,Polímeros,Noite,194,40,4.85
Fatec Mauá,2012,2,Fabricação Mecânica,Manhã,103,40,2.58
Fatec Mauá,2012,2,Fabricação Mecânica,Noite,199,40,4.98
Fatec Mauá,2012,2,Informática Para Negócios,Noite,210,40,5.25
Fatec Mauá,2012,2,Informática Para Negócios,Tarde,41,40,1.03
Fatec Mauá,2012,2,Logística,Manhã,112,40,2.80
Fatec Mauá,2012,2,Logística,Noite,228,40,5.70
Fatec Mauá,2012,2,Polímeros,Noite,104,40,2.60
Fatec Mauá,2013,1,Fabricação Mecânica,Manhã,144,40,3.60
Fatec Mauá,2013,1,Fabricação Mecânica,Noite,313,40,7.83
Fatec Mauá,2013,1,Informática Para Negócios,Noite,295,40,7.38
Fatec Mauá,2013,1,Informática Para Negócios,Tarde,78,40,1.95
Fatec Mauá,2013,1,Logística,Manhã,169,40,4.23
Fatec Mauá,2013,1,Logística,Noite,301,40,7.53
Fatec Mauá,2013,1,Polímeros,Noite,169,40,4.23
Fatec Mauá,2013,2,Fabricação Mecânica,Manhã,166,40,4.15
Fatec Mauá,2013,2,Fabricação Mecânica,Noite,256,40,6.40
Fatec Mauá,2013,2,Informática Para Negócios,Noite,234,40,5.85
Fatec Mauá,2013,2,Informática Para Negócios,Tarde,77,40,1.93
Fatec Mauá,2013,2,Logística,Manhã,130,40,3.25
Fatec Mauá,2013,2,Logística,Noite,269,40,6.73
Fatec Mauá,2013,2,Polímeros,Noite,145,40,3.63
Fatec Mauá,2014,1,Fabricação Mecânica,Manhã,128,40,3.20
Fatec Mauá,2014,1,Fabricação Mecânica,Noite,257,40,6.43
Fatec Mauá,2014,1,Informática Para Negócios,Noite,211,40,5.28
Fatec Mauá,2014,1,Informática Para Negócios,Tarde,60,40,1.50
Fatec Mauá,2014,1,Logística,Manhã,149,40,3.73
Fatec Mauá,2014,1,Logística,Noite,333,40,8.33
Fatec Mauá,2014,1,Polímeros,Noite,149,40,3.73
Fatec Mauá,2014,2,Fabricação Mecânica,Manhã,109,40,2.73
Fatec Mauá,2014,2,Fabricação Mecânica,Noite,211,40,5.28
Fatec Mauá,2014,2,Informática Para Negócios,Noite,199,40,4.98
Fatec Mauá,2014,2,Informática Para Negócios,Tarde,45,40,1.13
Fatec Mauá,2014,2,Logística,Manhã,109,40,2.73
Fatec Mauá,2014,2,Logística,Noite,217,40,5.43
Fatec Mauá,2014,2,Polímeros,Noite,109,40,2.73
Fatec Mauá,2015,1,Fabricação Mecânica,Manhã,130,40,3.25
Fatec Mauá,2015,1,Fabricação Mecânica,Noite,270,40,6.75
Fatec Mauá,2015,1,Informática Para Negócios,Noite,245,40,6.13
Fatec Mauá,2015,1,Informática Para Negócios,Tarde,65,40,1.63
Fatec Mauá,2015,1,Logística,Manhã,117,40,2.93
Fatec Mauá,2015,1,Logística,Noite,267,40,6.68
Fatec Mauá,2015,1,Polímeros,Noite,136,40,3.40
Fatec Mauá,2015,2,Fabricação Mecânica,Manhã,92,40,2.30
Fatec Mauá,2015,2,Fabricação Mecânica,Noite,212,40,5.30
Fatec Mauá,2015,2,Gestão Empresarial,Ensino A Distância,186,40,4.65
Fatec Mauá,2015,2,Informática Para Negócios,Noite,245,40,6.13
